start	end	lat	lon	lat	lon	name
506519171	2012875026	-5008912.11	875930.4	-5008911.24	875904.16	Odenwaldring
506519177	506519171	-5008913.93	875965.19	-5008912.11	875930.4	Odenwaldring
2012875033	506519177	-5008919.81	876034.11	-5008913.93	875965.19	Odenwaldring
2012875043	2012875033	-5008920.13	876042.1499999999	-5008919.81	876034.11	Odenwaldring
2012875041	2012875043	-5008920.609999999	876052.84	-5008920.13	876042.1499999999	Odenwaldring
31124338	2012875041	-5008920.24	876061.0099999999	-5008920.609999999	876052.84	Odenwaldring
1833610588	278124134	-5010756.7299999995	876386.08	-5010756.67	876390.0599999999	Kirchgasse
1833610592	1833610588	-5010762.14	876365.99	-5010756.7299999995	876386.08	Kirchgasse
278124133	1833610592	-5010764.75	876353.4099999999	-5010762.14	876365.99	Kirchgasse
1831649868	278124133	-5010766.0	876344.65	-5010764.75	876353.4099999999	Kirchgasse
1831649869	1831649868	-5010766.63	876336.22	-5010766.0	876344.65	Kirchgasse
278124132	1831649869	-5010766.52	876325.98	-5010766.63	876336.22	Kirchgasse
278124131	278124132	-5010765.35	876314.54	-5010766.52	876325.98	Kirchgasse
278124130	278124131	-5010761.88	876287.58	-5010765.35	876314.54	Kirchgasse
2012875049	5218114123	-5008923.06	876100.18	-5008922.470000001	876096.3099999999	Odenwaldring
2012875053	2012875049	-5008925.08	876111.26	-5008923.06	876100.18	Odenwaldring
2012875064	2012875053	-5008927.1	876123.89	-5008925.08	876111.26	Odenwaldring
492170422	2012875064	-5008927.93	876134.41	-5008927.1	876123.89	Odenwaldring
7201679427	492170422	-5008928.93	876146.0	-5008927.93	876134.41	Odenwaldring
2329682442	165129	-5009829.32	875101.32	-5009827.61	875124.25	Helene-Mayer-Straße
1839231703	2329682442	-5009835.88	875065.8200000001	-5009829.32	875101.32	Helene-Mayer-Straße
1839231708	1839231703	-5009841.66	875043.54	-5009835.88	875065.8200000001	Helene-Mayer-Straße
1839231711	1839231708	-5009846.78	875025.8300000001	-5009841.66	875043.54	Helene-Mayer-Straße
7223945740	1839231711	-5009859.08	874980.84	-5009846.78	875025.8300000001	Helene-Mayer-Straße
1839231726	7223945740	-5009865.41	874960.9299999999	-5009859.08	874980.84	Helene-Mayer-Straße
1839231734	1839231726	-5009870.12	874946.7599999999	-5009865.41	874960.9299999999	Helene-Mayer-Straße
1839231737	1839231734	-5009871.28	874933.6	-5009870.12	874946.7599999999	Helene-Mayer-Straße
1839231736	1839231737	-5009870.08	874923.3999999999	-5009871.28	874933.6	Helene-Mayer-Straße
1931230714	1839231736	-5009866.98	874913.87	-5009870.08	874923.3999999999	Helene-Mayer-Straße
165130	1931230714	-5009846.319999999	874855.0099999999	-5009866.98	874913.87	Helene-Mayer-Straße
3392724229	762519883	-5008764.45	875387.6699999999	-5008766.66	875374.79	Felix-Mendelssohn-Straße
1854322722	3392724229	-5008782.09	875531.9	-5008764.45	875387.6699999999	Felix-Mendelssohn-Straße
1854322721	1854322722	-5008771.95	875553.1299999999	-5008782.09	875531.9	Felix-Mendelssohn-Straße
4363638265	150883867	-5009791.69	875591.0800000001	-5009793.5	875592.3599999999	Darmstädter Straße
150883871	4363638265	-5009749.05	875560.9400000001	-5009791.69	875591.0800000001	Darmstädter Straße
1854322747	1854322741	-5010210.29	877852.7499999999	-5010161.83	877814.77	Gartenstraße
150883871	35503726	-5009749.05	875560.9400000001	-5009658.08	875492.99	Darmstädter Straße
2012654786	491028145	-5010547.01	874045.8500000001	-5010545.96	874058.16	Berliner Straße
526689	2012654786	-5010548.87	874032.59	-5010547.01	874045.8500000001	Berliner Straße
2012654797	526689	-5010551.73	874016.6900000001	-5010548.87	874032.59	Berliner Straße
526690	2012654797	-5010555.13	874002.4800000001	-5010551.73	874016.6900000001	Berliner Straße
492399680	491028150	-5010838.18	873437.4400000001	-5010837.19	873432.14	Kaiserleistraße
2989467089	34087285	-5010560.87	876473.02	-5010564.58	876452.18	Berliner Straße
7161329518	2989467089	-5010558.33	876486.2600000001	-5010560.87	876473.02	Berliner Straße
2904807979	7161329518	-5010545.100000001	876555.1900000001	-5010558.33	876486.2600000001	Berliner Straße
6703118748	2021351188	-5010547.59	876282.58	-5010547.5	876218.58	Hugenottenplatz
6703118743	6703118748	-5010547.65	876334.8	-5010547.59	876282.58	Hugenottenplatz
6703118739	6703118743	-5010547.6899999995	876359.12	-5010547.65	876334.8	Hugenottenplatz
6703118738	6703118739	-5010547.6899999995	876363.72	-5010547.6899999995	876359.12	Hugenottenplatz
2701741130	6703118738	-5010560.02	876364.5199999999	-5010547.6899999995	876363.72	Hugenottenplatz
6703118739	2701759575	-5010547.6899999995	876359.12	-5010560.21	876360.39	Hugenottenplatz
6703118748	6703118733	-5010547.59	876282.58	-5010565.12	876282.87	Hugenottenplatz
286016779	286016776	-5010298.63	879312.15	-5010303.56	879307.22	Am Schneckenberg
1185136818	286016779	-5010296.73	879314.86	-5010298.63	879312.15	Am Schneckenberg
286016782	1185136818	-5010294.33	879319.72	-5010296.73	879314.86	Am Schneckenberg
1185136775	286016782	-5010292.239999999	879326.07	-5010294.33	879319.72	Am Schneckenberg
286016784	1185136775	-5010290.37	879335.15	-5010292.239999999	879326.07	Am Schneckenberg
