start	end	lat	lon	lat	lon	name	distance
526689	634432	-5010548.87	874032.59	-5010598.04	873969.34	Berliner Straße	0.07965259549900948
34087285	270230425	-5010564.58	876452.18	-5010540.24	876580.5200000001	Berliner Straße	0.09547935236144989
34087285	6703118735	-5010564.58	876452.18	-5010602.66	876287.11	Berliner Straße	0.12514640605684435
34087285	60404541	-5010564.58	876452.18	-5010601.3	876448.5900000001	Schloßstraße	0.040964504743099345
34087285	2663330797	-5010564.58	876452.18	-5010556.720000001	876453.53	Marktplatz	0.008796210862452625
6703118748	2021351188	-5010547.59	876282.58	-5010547.5	876218.58	Hugenottenplatz	0.04565782528441191
6703118748	6703118733	-5010547.59	876282.58	-5010565.12	876282.87	Hugenottenplatz	0.019499687297472906
6703118748	6703118739	-5010547.59	876282.58	-5010547.6899999995	876359.12	Hugenottenplatz	0.054603889967699965
2021351188	36322918	-5010547.5	876218.58	-5010485.72	876240.37	Herrnstraße	0.07046166990490041
2021351188	34087281	-5010547.5	876218.58	-5010623.600000001	876189.9	Herrnstraße	0.08709291901736675
6703118739	2701759575	-5010547.6899999995	876359.12	-5010560.21	876360.39	Hugenottenplatz	0.013955416641157025
6703118739	2701741130	-5010547.6899999995	876359.12	-5010560.02	876364.5199999999	Hugenottenplatz	0.017008156485024305
271785577	271785581	-5008387.26	874832.6699999999	-5008577.65	874978.13	Schumannstraße	0.23584891729597865
271785577	289420342	-5008387.26	874832.6699999999	-5008466.4799999995	874583.25	Bert-Brecht-Straße	0.19865390419196302
271785577	271785566	-5008387.26	874832.6699999999	-5008085.67	875037.53	Am Waldschwimmbad	1.1183810574184598
271785577	271785570	-5008387.26	874832.6699999999	-5008287.57	875145.07	Bert-Brecht-Straße	0.2496038721747536
35339009	35339010	-5009869.100000001	876030.4700000001	-5009878.890000001	876092.59	Marienstraße	0.04564083010458069
35339009	35339008	-5009869.100000001	876030.4700000001	-5009956.100000001	875979.84	Bismarckstraße	0.10329341497641703
35339009	150883865	-5009869.100000001	876030.4700000001	-5009842.23	875876.1599999999	Marienstraße	0.11408538858164782
271785510	271785528	-5007614.67	876612.79	-5007632.46	876520.3400000001	Lauterbornweg	0.06889700792973172
271785510	271785524	-5007614.67	876612.79	-5007469.41	876585.48	Dietzenbacher Straße	0.16275873622382658
271785510	6687642975	-5007614.67	876612.79	-5007764.800000001	876620.37	Dietzenbacher Straße	0.16716389221147746
1086046037	1086046041	-5011442.569999999	874637.42	-5011397.86	874407.91	Hafeninsel	0.1712092647956912
1086046037	2862280085	-5011442.569999999	874637.42	-5011327.8	874653.5700000001	Walter-Spiller-Brücke	0.12817747075132888
1086046037	1086046054	-5011442.569999999	874637.42	-5011345.140000001	875454.19	Hafeninsel	0.617242218429406
2018741307	38579043	-5009777.95	877351.5299999999	-5009758.75	877352.11	Bachstraße	0.021567164524460808
2018741307	2018741338	-5009777.95	877351.5299999999	-5009785.91	877410.3500000001	Landgrafenring	0.04289285063341893
2018741307	36752659	-5009777.95	877351.5299999999	-5009887.96	877306.8300000001	Bachstraße	0.1264528708900782
38579043	38577339	-5009758.75	877352.11	-5009753.09	877347.82	Hessenring	0.007000314659159959
38579043	2018741338	-5009758.75	877352.11	-5009785.91	877410.3500000001	Landgrafenring	0.053021809852287334
35343343	35339015	-5009962.76	876598.36	-5009959.140000001	876573.9299999999	Feldstraße	0.017889899935460002
35343343	36676166	-5009962.76	876598.36	-5009996.739999999	876815.9400000001	Feldstraße	0.1597756301438274
35343343	35343344	-5009962.76	876598.36	-5010062.54	876565.49	Waldstraße	0.11345788462651811
35343343	36752656	-5009962.76	876598.36	-5009798.52	876654.89	Waldstraße	0.18711193718488153
271785581	409018739	-5008577.65	874978.13	-5008648.76	875031.56	Schumannstraße	0.08780767220273925
271785581	271785586	-5008577.65	874978.13	-5008531.18	875299.93	Kurt-Tucholsky-Straße	0.2459192294193422
271785586	271785589	-5008531.18	875299.93	-5008645.51	875374.77	Hugo-Wolf-Straße	0.14703753996838828
271785586	271785592	-5008531.18	875299.93	-5008448.68	875292.34	Hugo-Wolf-Straße	0.09279372484087406
35339017	1834872822	-5010374.88	876461.82	-5010378.06	876460.9800000001	Marktplatz	0.0035875162938761728
35339017	1832015444	-5010374.88	876461.82	-5010409.649999999	876503.65	Bieberer Straße	0.05447725646907679
35339017	3161228622	-5010374.88	876461.82	-5010261.21	876502.29	Waldstraße	0.1297394138604195
1832015444	35339018	-5010409.649999999	876503.65	-5010425.06	876584.83	Bieberer Straße	0.060402440488854695
1832015444	1832015447	-5010409.649999999	876503.65	-5010408.96	876469.93	Bieberer Straße	0.02429490480064203
271785587	271785588	-5008373.859999999	875568.36	-5008344.91	875325.09	Anton-Bruckner-Straße	0.17707164575608264
271785587	279041782	-5008373.859999999	875568.36	-5008415.8100000005	875538.4899999999	Richard-Wagner-Straße	0.051300448065622214
271785588	271785592	-5008344.91	875325.09	-5008448.68	875292.34	Hugo-Wolf-Straße	0.117767888479379
271785588	1854322704	-5008344.91	875325.09	-5008448.05	874903.5299999999	Händelplatz	0.3644958371088804
60405590	2024106498	-5010272.99	879209.11	-5010273.7	879079.1000000001	Maybachstraße	0.09276441615550281
60405590	292558860	-5010272.99	879209.11	-5010020.84	879400.5399999999	Bierbrauerweg	0.39084907694540677
34042088	34042053	-5008940.7299999995	876283.18	-5008951.11	876281.1799999999	Senefelderstraße	0.011633542817499875
34042088	34042090	-5008940.7299999995	876283.18	-5008997.64	876925.7899999999	Odenwaldring	0.462997749108813
34042088	1833013905	-5008940.7299999995	876283.18	-5008800.43	876326.65	Senefelderstraße	0.15918944984528102
34042088	31124336	-5008940.7299999995	876283.18	-5008912.140000001	875840.4199999999	Odenwaldring	0.31842691128983636
165128	35503730	-5009860.38	875131.79	-5009843.62	875295.15	Bismarckstraße	0.11827206886375569
165128	1834596286	-5009860.38	875131.79	-5009882.600000001	875092.9899999999	Parkstraße	0.03755958787615431
165128	1834596238	-5009860.38	875131.79	-5009868.680000001	875073.1	Dreieichring	0.042935629849310444
198973672	31124340	-5008939.149999999	876165.31	-5008928.9	876058.9700000001	Odenwaldring	0.07679299077019766
198973672	34042053	-5008939.149999999	876165.31	-5008951.11	876281.1799999999	Odenwaldring	0.08378385438210292
198973672	195984207	-5008939.149999999	876165.31	-5009091.930000001	876131.26	Eupener Straße	0.17166540091866794
31124340	31124341	-5008928.9	876058.9700000001	-5008921.72	875963.8600000001	Odenwaldring	0.06847208599985187
31124340	150888266	-5008928.9	876058.9700000001	-5009081.9799999995	876025.39	Brinkstraße	0.17194867885776402
60784533	2024106312	-5009879.08	878504.97	-5009673.83	878635.12	Obere Grenzstraße	0.2600651944211698
60784533	3989547465	-5009879.08	878504.97	-5009824.69	878450.1799999999	Rhönstraße	0.07203856109204476
60784533	2472191	-5009879.08	878504.97	-5009934.25	878544.77	Rhönstraße	0.06786518280833978
2024106312	60784538	-5009673.83	878635.12	-5009564.550000001	878671.72	Obere Grenzstraße	0.12433171231075779
2024106312	7187342731	-5009673.83	878635.12	-5009730.65	878378.03	Ahornstraße	0.200838698235845
60784538	60784540	-5009564.550000001	878671.72	-5009532.29	878681.61	Obere Grenzstraße	0.03657010800164021
60784538	60785958	-5009564.550000001	878671.72	-5009577.569999999	878764.44	Kopernikusstraße	0.06772658800083851
60784540	1832944815	-5009532.29	878681.61	-5009517.45	878579.29	Lichtenplattenweg	0.0748535238170539
60784540	60784541	-5009532.29	878681.61	-5009259.92	878772.24	Obere Grenzstraße	0.3097863538073015
60784541	60954142	-5009259.92	878772.24	-5009279.8	878916.3	Fichtestraße	0.10515140511807476
60784541	2031056412	-5009259.92	878772.24	-5009262.43	878663.9900000001	Goerdelerstraße	0.07936644100485908
